#2.diskStellarLuminosity:SDSS_g:observed:z0.1000    #4.diskStellarLuminosity:SDSS_r:observed:z0.1000   #6.spheroidStellarLuminosity:SDSS_g:observed:z0.1000    #8.spheroidStellarLuminosity:SDSS_r:observed:z0.1000
24644109.7356337    33787543.1219784   2921945.76079413    5873522.36982151
5215322.21986506    7028751.9004651   784477.394844259    1424234.34478029
3339294.46791515    3340245.46214679   8112958.01001443    15167515.2048377
209127773.01157    308769820.279165   34318309.8024987    85858065.5046104
75665719.4010316    95729513.3790098   8824616.5176019    18182278.0424332
9246586.84880242    12721537.9938205   1078215.05890304    2039255.98791191
8355047.98520902    9852548.82165215   5109345.91930565    9554959.96962691
182125167.579691    288549676.120914   35933351.8396639    86048096.5016439
2928189.7131517    3861916.61819381   123844.07807088    220381.952596812
41461447.3881146    63909013.0290667   5491308.98037124    11847014.4369823
333249693.185748    424304690.016843   64488883.9924847    136047524.612987
26509278.7588262    35508947.5582329   4624094.34297556    8993069.03480852
129855492.763486    210838327.958908   34820475.7888522    85082152.3101388
40563605.7383632    58791148.1340452   5184575.87950399    10950501.3006693
88350886.8939348    121575718.586872   13900522.5478092    26632761.2231418
30438638.3338035    42177849.3191399   2024339.62020383    4145725.90401389
5697613.83213816    5880819.42040267   11079040.4282612    21929957.8892293
20148749.44257    28274262.0395696   2368633.35030617    4646108.86684086
21234868.8599029    32478639.2189012   3313978.80160575    6593335.1332823
2726896.54140036    4578468.06125291   388852.617363826    701351.177533503
30881029.2811447    81043585.5266655   27480860.074828    68782008.3470656
48353104.1513764    92427480.9193471   15945661.6306087    40243554.3637129
3672181.57595998    5141865.39240437   773686.912267296    1402247.55714984
11832205.2169841    15253373.1613573   1538193.66905676    2883641.48889445
6471846.93052215    8772690.23169295   836653.868687786    1543344.35192784
19394585.1426158    24997728.4325418   1549578.2487731    2971435.64488884
2862502.39441753    3142989.55370504   4835481.85841133    8627769.29391987
104995071.658557    163884347.322269   16815041.2842485    35030967.3849253
29850862.1473073    41935571.5679582   2345778.01674142    4648801.45645978
16058408.3026349    16592516.9278148   10347448.1643941    20026771.8153654
13378351.4898805    18755911.2501501   1060247.57972484    2289327.27697074
237037208.431297    304077216.12293   45173625.8211401    84426756.7369833
182084700.832072    252474370.023637   30660512.4101588    65187760.7626023
56515817.0913671    77931426.8428119   6287110.23066174    13488171.6527775
27736417.7823817    33793059.8616586   4671688.70706313    8207921.38062958
49219233.0172167    67495004.3042039   11166730.1292443    19551531.0855264
11262484.4194943    15726799.964487   1656947.76627874    3051694.24086426
38901949.9184381    47510700.5588583   15547541.1036967    32384396.7597865
13546862.4497195    19642763.510197   3136458.52845077    6228739.4681616
8809367.25736815    13046439.5546154   1150466.42423602    2153618.51781465
