#1.treeId       #2.nodeMass      #3.diskStellarMass     #4.diskGasMass        #5.diskCircularVelocity     #6.spheroidStellarMass      #7.spheroidGasMass
231              6294949855232      54863269307.7783      -2.71299698705921e-40    1158.55232069472              113869717662.609          1.94706408028418e-14
232              6293279997952      1136736.55645526      2815236986.94841    180.252784708775              112601390077.492          36545561.8972773
233              6278530203648      20836542189.674      2.87466824574867e-06    406.998726111631              69118728905.223          4.58545043929634e-13
234              6260489977856      0      0    0              0          0
235              6178739847168      0      0    0              163377391734.697          2.4783126697123e-14
236              6166289580032      18971354308.9437      7462079707.38421    257.275535004485              138184125154.046          75.662541186735
237              6163879952384      0      0    0              111020300089.546          71712327.249512
238              6155619794944      19632475080.0664      10119779765.6246    270.994857468506              111586512855.603          287.329609678767
239              6141759717376      1574096774.93774      7230399919.06619    228.039579697802              167235115377.484          16377546.8581426
240              6121400041472      45933534247.0841      753200379.285604    193.241910933079              65880460442.8854          3317.8170954717
241              6109570007040      34118123328.0997      7.34879174714127e-06    500.115611651518              114032483852.592          4.70993278916591e-13
242              6077299556352      0      0    0              270099590516.563          1203025.49926862
243              6002129764352      7189259953.94534      31170583.4312793    347.21231968302              160014420687.664          5.51891595393603e-13
244              5978369556480      26633546552.0509      1012142117.03887    391.572155586328              114952291701.281          4.25507982445612e-13
245              5950659887104      10299883699.4122      86338276.7903275    235.333687601839              138616608292.396          0.000440071672949169
246              5946579877888      13578780348.7147      1552490048.1601    260.333688406997              139585163522.495          411.644424333625
247              5923619733504      29903384004.3213      32786193.6435921    376.114048919995              125622137204.919          1.49129996645716e-12
248              5913980174336      45731227857.0708      4501581163.80786    207.778396228524              35054188739.358          4.12840648538589e-08
249              5910929866752      16559329307.7178      9.39730484818818e-12    489.249159827182              86904763295.7525          2.26685556991838e-13
250              5908899823616      3939655144.74759      2727111234.36607    251.912688753982              125049252126.843          7.5019476262226
251              5869579796480      7860606247.49879      6250726460.49555    180.356485437325              54609566251.7192          20.2157581245145
252              5843790069760      0      0    0              87461920128.174          2033.3315376611
253              5827450109952      25178488615.242      965465606.922889    214.985748019072              117991893251.293          39861.2652101205
254              5820019900416      44006493027.4516      4356336649.21355    320.711084612895              128036980114.438          3.39019291256689e-12
255              5801710190592      1695465059.51008      6907801552.87824    196.082750467015              86467010660.2304          6626597.80238351
256              5791260082176      0      0    0              0          0
257              5747399720960      122766.67815485      126476527.328514    193.083286518165              145051646032.613          127392104.894385
258              5744239837184      39969095765.5622      195.416297377177    354.632384531054              63519240169.4495          7.00660596663637e-13
259              5704349908992      0      0    0              158646988588.619          6.28054560695577e-10
260              5684149616640      0      0    0              84804266317.894          4498.60968301338
261              5683169722368      26642767714.1322      5336525024.19477    275.965299843666              145348219341.593          66.1031044132733
262              5640070103040      54144842.6073698      1605911600.90998    228.794314527803              137411588058.394          12313.716102806
263              5623160242176      55419.2059312251      16994739.3424732    214.528783548592              115396422471.392          5.75765415876956e-07
264              5620979728384      1118765160.67894      6112044100.07482    214.812942400968              76708368451.3825          4683048.81372644
265              5620379942912      0      0    0              0          0
266              5595749941248      3478043126.26399      12854695708.0918    179.655484146407              55388355836.15          1103246.69011526
267              5560179621888      20006706243.6042      1714521965.12737    210.73901756281              94323546126.3914          0.605397211137736
268              5553859854336      21751429075.1295      162516994.382145    318.168368773631              143503681205.028          0.00020759213277694
269              5542190252032      15982655430.1315      32357.6265919622    427.635195506349              127247155320.313          6.06459123073464e-12
270              5541599903744      25076571573.6605      9596.41821971203    442.944538818063              141415852617.799          1.12731552699443e-12
271              5515889868800      0      0    0              64138276742.3555          0.00069545288650057
