#2.nodeMass    #3.spheroidStellarMass    #4.spheroidGasMass    #5.diskStellarMass      #6.diskGasMass
920847108242.84    3272715222.7977    2.76500096082095e-32    4206851152.27302      3720715831.04383
976141005401.199    19322019168.8792    3.91111568543076e-33    20764784153.7851      5.68922439284429e-10
885042831418.4    6964794448.34177    9.83738451144193e-18    4598248277.2938      6820176651.86937
972631034584.144    13616160860.0002    9.78569956074486e-05    5007160832.75651      8372951199.68926
971275856300.8    17645279537.0514    1.66085341520115e-18    20566586376.0969      383048941.103067
975691328468.714    12366779776.8799    1.01845142777295e-37    13545495976.1621      8.24460176100249
968929126268.849    13431143389.71    22317254.366696    21136307.9348563      1034803510.43497
975419530017.868    15873363740.2044    1.21319704923258e-19    21546870625.1314      11.1475845515946
790039230477.915    0    0    3614682.60444683      2421205756.81358
943088254168.373    7650938295.23473    6.51614596898404e-18    13276290129.8706      4252262943.5495
940110850926.704    9634373289.04953    6.11075287058874e-25    11619084996.7617      41834.7615591385
972082944941.489    13316701156.7455    2.30489333461468e-16    16877149756.1276      0.000867208549162163
955036722243.31    11341637135.5898    6.60322264960151e-14    16689115579.4388      44397088.2563011
969733592252.474    12484754064.9425    4.58618117911551e-20    16752513795.03      3085675.65128136
951708789370.208    5438195655.65845    1.55347326070948e-10    11056507020.1756      6719697205.45283
966905801798.632    22375083904.3077    1.40545375345474e-14    26473548921.9921      683015827.069719
923601306948.264    58684053313.4839    4.66253857789599e-06    2014083481.54687      2145514783.33776
957683749010.767    11414546182.2502    2.30558608829453e-26    22022414684.4455      5711730108.95573
970324757082.844    13060124694.806    8.06920482004935e-22    19702684992.4414      2208016612.20123
959042106152.421    15923873962.0547    1.83677095581301e-14    21451298715.5025      147798.37448961
958680120602.095    7849367464.83443    2845482.5344813    13099170473.3952      3332144185.04824
957374019811.927    6162504453.09501    2.54149238907781e-16    6634689576.07597      3147762908.70969
959576147765.833    10651771055.0452    -3.0659103572628e-37    11708703809.6458      17300059.5621116
964552420950.86    22812663250.5153    517.78815130234    534415845.058276      5129409345.21945
959136037056.244    4922440431.84917    8.07408388063092e-16    9655287934.33148      2310870182.88886
952732760570.431    8075236167.67925    2.20778415639947e-23    13280032755.4985      130609.402401014
953415645844.856    15738136385.4163    3.52739260590851e-23    20563473980.2407      1047130317.36793
950767672553.348    3963657949.04896    4.29730980020491e-23    7798952053.90736      3510051983.33252
946050837957.931    23783588540.8941    1.0770676811833e-18    29547901301.9902      1209756930.18842
914306645355.115    19569020378.2695    6.31247392470307e-15    29508688586.1531      2082906.80578929
918855680443.178    7409742227.38919    7.33903398878666e-30    11067936889.8616      103931666.283041
944548461592.45    20725594633.5328    5.5300817543499e-15    26451588441.5272      30895.8019583891
949562677603.514    29078928814.1518    8.46874738713423e-19    11532293728.2282      244467798.075417
944240091317.254    4099875474.20514    1.09864410929314e-27    8294341857.80402      4602421277.66758
945846797615.84    9102772010.62229    8458062.9616372    14832294848.4062      4367307762.61039
935623722009.248    532152141.920679    0.00160339421159259    946932615.861182      8534250338.28411
933568545092.375    8202576696.75121    2.50174984808199e-27    6245147960.19328      3817225.63447232
945707991076.553    12059117954.9335    3.16836786031546e-13    16238039286.1993      4505384657.24974
588884234587.487    7445346499.67819    5.20403642519578e-18    9622125095.80908      19736706.4603214
946669600553.713    51683300770.7947    4.17255793372139e-12    3676633780.04325      3876025622.96397
945567761433.668    13644817266.5141    3.48496600728487e-29    17063155031.2784      2939.14493606424
942307631184.979    8961537950.07963    3.77217033629781e-22    15807205794.2324      2478647817.5921
919263258603.527    13614423504.7008    6.77902570381496e-14    18930904640.7134      24.7842905450912
941008916164.223    34914358189.8878    4250.37440447694    484557056.422194      2590456626.45703
942255021302.625    4430137659.41484    1.95753974612518e-14    9571044879.01732      7642413972.57818
938752070135.058    10534023836.4809    1.14357137110227e-33    12901534538.8216      28958191.9032733
948527572443.556    40973464311.6312    7.58138331413072    59009135.3124491      196547.913639157
939040672268.827    18812218315.7706    1.7066545118126e-13    24183001289.5617      0.000674768863539449
931727979573.938    7729570721.29827    1.01220728384849e-25    12733262399.1836      2397488615.69164
919115071393.672    18942629345.9187    2.15997997179783e-21    19549751895.4251      240.626683893141
930282491540.564    12043530409.7136    3.16149716114447e-16    17780826504.8082      152.501722010033
758834258194.308    0    0    4127574.47137749      2368844457.18474
927924062510.349    18013678890.8143    2.3075322132871e-10    24272808941.0953      1998804.08571747
928891050788.733    15576346412.9841    6.35640643209865e-17    23144341403.6426      16154187.7372781
932046381200.975    19592169288.8863    4.47542457171049e-36    23278642661.6973      1.16977743855875e-08
936690638831.961    14598512157.672    480713.380360309    23542142679.5127      2136935064.41965
920237614029.288    19979248377.5022    7.366840295017e-15    31706190237.8871      42622810.5409496
925612838395.5    20437594252.3806    5.82743261881794e-38    23870602196.0033      3.34744519094221e-05
923276577322.747    11333237596.1216    3.99577096122457e-28    17102451585.5386      597852.226405375
910802538782.678    19789022939.0321    7.86908797613052e-15    24422744409.6742      595724893.139221
867338142371.599    9073214565.85    1.18280288062857e-31    8404997067.91637      33063.3855269779
878583372797.899    13130482835.9427    2.01719913562301e-18    19708983713.4862      720388866.767017
910357299920.01    3651571086.21803    2357190.07294426    6517555195.79053      3061886462.91698
919794466179.026    4559759113.56031    1.99597023867708e-19    9586620267.30234      3729312496.88223
813366627533.605    14904738251.0645    1.45976914277391e-26    18556303765.3749      1.63338782651666
914257496558.825    0    0    603763816.00535      17643409709.6545
859737824806.447    12174557720.6151    2.58899994786589e-19    21816680051.2707      185699110.350807
917381111080.449    10080706390.3924    8.56194431545167e-14    13666539696.6278      1703701739.64392
916354918836.544    9761765868.8532    8.7032697706281e-18    18480868860.1149      4520404755.61101
921818738630.984    3624074673.55178    0.000419212914437842    6078178225.75862      7966974125.19237
913656726240.662    7647672602.31831    1.97550910089095e-05    15483196374.0364      2824606740.16351
918378117895.808    12280064444.1193    2.77245676198808e-19    16936500245.407      2927823615.40295
916803752077.555    18828354948.1798    1.20510691066858e-15    26924070151.6178      200857664.333729
918655372862.75    5754493164.97802    0.00110500147066633    12317826969.848      6613754389.26798
912345730850.441    8573666294.35872    2.76124977348706e-17    12236924669.0865      1302034989.75199
