#1.mvir(z=0)    #2.firstZ
5.001760E+12   0.081000
4.992870E+12   0.081000
4.984030E+12   0.081000
4.983910E+12   0.081000
4.978770E+12   0.081000
4.958750E+12   0.081000
4.956840E+12   0.081000
4.940300E+12   0.081000
4.930430E+12   0.081000
4.913920E+12   0.081000
4.867870E+12   0.081000
4.856640E+12   0.081000
4.839400E+12   0.081000
4.836130E+12   0.081000
4.818260E+12   0.081000
4.762490E+12   0.081000
4.745840E+12   0.081000
4.739180E+12   0.081000
4.705360E+12   0.081000
4.661270E+12   0.081000
4.630610E+12   0.081000
4.607110E+12   0.081000
4.600930E+12   0.081000
4.579530E+12   0.081000
4.571680E+12   0.081000
4.526290E+12   0.081000
4.517060E+12   0.081000
4.512090E+12   0.081000
4.499520E+12   0.081000
4.498350E+12   0.081000
4.491690E+12   0.081000
4.462430E+12   0.081000
4.453090E+12   0.081000
4.428360E+12   0.081000
4.391510E+12   0.081000
4.355720E+12   0.081000
4.304170E+12   0.081000
4.290710E+12   0.081000
4.287440E+12   0.081000
4.285850E+12   0.081000
4.255410E+12   0.081000
4.245600E+12   0.081000
4.238960E+12   0.081000
4.220700E+12   0.081000
4.208450E+12   0.081000
4.198870E+12   0.081000
4.135550E+12   0.081000
4.115040E+12   0.081000
4.095890E+12   0.081000
4.072820E+12   0.081000
4.059760E+12   0.081000
4.043290E+12   0.081000
4.037830E+12   0.081000
4.031290E+12   0.081000
3.995460E+12   0.081000
3.983910E+12   0.081000
3.939030E+12   0.081000
3.912410E+12   0.081000
3.895810E+12   0.081000
3.867230E+12   0.081000
3.856960E+12   0.081000
3.842370E+12   0.081000
3.828790E+12   0.081000
3.821740E+12   0.081000
3.803900E+12   0.081000
3.801950E+12   0.081000
3.793540E+12   0.081000
3.789830E+12   0.081000
3.785650E+12   0.081000
3.778520E+12   0.081000
3.766030E+12   0.081000
3.751450E+12   0.081000
3.750700E+12   0.081000
3.736160E+12   0.081000
3.733550E+12   0.081000
3.728080E+12   0.081000
3.717200E+12   0.081000
3.714340E+12   0.081000
3.695760E+12   0.081000
3.694740E+12   0.081000
3.691620E+12   0.081000
3.676510E+12   0.081000
3.641290E+12   0.081000
3.630760E+12   0.081000
3.626110E+12   0.081000
3.625010E+12   0.081000
3.617580E+12   0.081000
3.609600E+12   0.081000
3.591360E+12   0.081000
3.556010E+12   0.081000
3.554140E+12   0.081000
3.548990E+12   0.081000
3.528750E+12   0.081000
3.502410E+12   0.081000
3.501310E+12   0.081000
3.491810E+12   0.081000
3.482010E+12   0.081000
3.461180E+12   0.081000
3.458290E+12   0.081000
3.443580E+12   0.081000
3.439760E+12   0.081000
3.414670E+12   0.081000
3.406500E+12   0.081000
3.399980E+12   0.081000
3.335290E+12   0.081000
3.330240E+12   0.081000
3.318120E+12   0.081000
3.279460E+12   0.081000
3.264510E+12   0.081000
3.257780E+12   0.081000
3.242030E+12   0.081000
3.227530E+12   0.081000
3.226560E+12   0.081000
3.213030E+12   0.081000
3.207390E+12   0.081000
3.200510E+12   0.081000
3.190660E+12   0.081000
3.162450E+12   0.081000
3.158110E+12   0.081000
3.111430E+12   0.081000
3.075320E+12   0.081000
3.069590E+12   0.081000
3.058510E+12   0.081000
3.057830E+12   0.081000
3.049310E+12   0.081000
3.030140E+12   0.081000
3.022970E+12   0.081000
3.011990E+12   0.081000
2.999600E+12   0.081000
2.998620E+12   0.081000
2.995610E+12   0.081000
2.983420E+12   0.081000
2.952190E+12   0.081000
2.951870E+12   0.081000
2.925910E+12   0.081000
2.922340E+12   0.081000
2.916020E+12   0.081000
2.908250E+12   0.081000
2.892560E+12   0.081000
2.883730E+12   0.081000
2.858780E+12   0.081000
2.851710E+12   0.081000
2.843710E+12   0.081000
2.837960E+12   0.081000
2.830120E+12   0.081000
2.819510E+12   0.081000
2.807850E+12   0.081000
2.806470E+12   0.081000
2.804240E+12   0.081000
2.801100E+12   0.081000
2.798190E+12   0.081000
2.781680E+12   0.081000
2.778330E+12   0.081000
2.771700E+12   0.081000
2.761020E+12   0.081000
2.760700E+12   0.081000
2.738690E+12   0.081000
2.738430E+12   0.081000
2.736630E+12   0.081000
2.728480E+12   0.081000
2.728310E+12   0.081000
2.689740E+12   0.081000
2.685090E+12   0.081000
2.682300E+12   0.081000
2.671540E+12   0.081000
2.659500E+12   0.081000
2.649550E+12   0.081000
2.640000E+12   0.081000
2.638110E+12   0.081000
2.634140E+12   0.081000
2.622930E+12   0.081000
2.609910E+12   0.081000
2.608960E+12   0.081000
2.604180E+12   0.081000
2.600110E+12   0.081000
2.598200E+12   0.081000
2.595200E+12   0.081000
